topic,subtopic1,subtopic2,raw_ex_info,composer,raw_ex_title,raw_ex_mm,larger_work,generic_title,piece_title,catalog_no,movement,measure_start,measure_end,mp3,pdf
Scales,Major scales,Descending Major Scales,"Brahms, Variations on a Theme by Haydn, op. 56, Var. 7, mm. 1-10",Brahms,"Variations on a Theme by Haydn, op. 56, Var. 7",mm. 1-10,,,,op. 56,,,,/musictheoryexamples/examples//ScD3.mp3,/musictheoryexamples/examples//ScD3.pdf
Scales,Major scales,Descending Major Scales,"Brahms, Piano Concerto no. 2 in B-flat Major, op. 83, mvt. 3, mm. 1-4",Brahms,"Piano Concerto no. 2 in B-flat Major, op. 83, mvt. 3",mm. 1-4,,,,op. 83,mvt. 3,,,/musictheoryexamples/examples//ScE3.mp3,/musictheoryexamples/examples//ScE3.pdf
Scales,Major scales,Descending Major Scales,"Tchaikovsky, Symphony no. 6 in b minor, op. 74, mvt. 1, mm. 335-354",Tchaikovsky,"Symphony no. 6 in b minor, op. 74, mvt. 1",mm. 335-354,,,,op. 74,mvt. 1,,,/musictheoryexamples/examples//ScK.mp3,/musictheoryexamples/examples//ScK.pdf
Scales,Major scales,Descending Major Scales,"Kabalevsky, Cello Concerto no. 1 in g minor, op. 49, mvt. 2, mm. 7-10",Kabalevsky,"Cello Concerto no. 1 in g minor, op. 49, mvt. 2",mm. 7-10,,,,op. 49,mvt. 2,,,/musictheoryexamples/examples//ScF3.mp3,/musictheoryexamples/examples//ScF3.pdf
Scales,Major scales,Descending Major Scales,"Franck, Prelude, Aria, and Finale, mm. 1-6",Franck,"Prelude, Aria, and Finale",mm. 1-6,,,,,,,,/musictheoryexamples/examples//ScG3.mp3,/musictheoryexamples/examples//ScG3.pdf
Scales,Minor Scales,Descending Major Scales,"Goetz, Violin Concerto in G Major, op. 22, mvt. 1, mm. 1-5",Goetz,"Violin Concerto in G Major, op. 22, mvt. 1",mm. 1-5,,,,op. 22,mvt. 1,,,/musictheoryexamples/examples//ScH3.mp3,/musictheoryexamples/examples//ScH3.pdf
Scales,Minor Scales,Descending Major Scales,"Beethoven, 32 Variations on an Original Theme, WoO 80, Vars. 11 and 12",,,,,,,,,,,/musictheoryexamples/examples//ScL3.mp3,/musictheoryexamples/examples//ScL3.pdf
Scales,Minor Scales,Descending Major Scales,"Beethoven, String Quartet in C Major, op. 59 no. 3, mvt. 2, mm. 1-6",Beethoven,"String Quartet in C Major, op. 59 no. 3, mvt. 2",mm. 1-6,,,,op. 59,mvt. 2,,,/musictheoryexamples/examples//ScU.mp3,/musictheoryexamples/examples//ScU.pdf
Scales,Minor Scales,Descending Major Scales,"Paganini, Caprice in a minor, op. 1 no. 5",,,,,,,,,,,/musictheoryexamples/examples//ScV.mp3,/musictheoryexamples/examples//ScV.pdf
Scales,Minor Scales,Descending Major Scales,"Beethoven, Piano Concerto no. 3 in c minor, op. 37, mvt. 1, mm. 111-117",Beethoven,"Piano Concerto no. 3 in c minor, op. 37, mvt. 1",mm. 111-117,,,,op. 37,mvt. 1,,,/musictheoryexamples/examples//ScS.mp3,/musictheoryexamples/examples//ScS.pdf
Scales,Minor Scales,Descending Major Scales,"Mozart, Fantasy in c minor, K. 475, mm. 174-176",Mozart,"Fantasy in c minor, K. 475",mm. 174-176,,,,K. 475,,,,/musictheoryexamples/examples//ScR.mp3,/musictheoryexamples/examples//ScR.pdf
Scales,Minor Scales,Descending Major Scales,"Faure, Piano Quartet no. 1 in c minor, op. 15, mvt. 4, mm. 1-12",Faure,"Piano Quartet no. 1 in c minor, op. 15, mvt. 4",mm. 1-12,,,,op. 15,mvt. 4,,,/musictheoryexamples/examples//ScM3.mp3,/musictheoryexamples/examples//ScM3.pdf
Scales,Minor Scales,Descending Major Scales,"Bartok, String Quartet no. 1, mvt. 3, mm. 62-67",Bartok,"String Quartet no. 1, mvt. 3",mm. 62-67,,,,,mvt. 3,,,/musictheoryexamples/examples//ScN3.mp3,/musictheoryexamples/examples//ScN3.pdf
Scales,Minor Scales,Descending Major Scales,"Bach, Chromatic Fantasia and Fugue in d minor, BWV 903, mm. 1-2",Bach,"Chromatic Fantasia and Fugue in d minor, BWV 903",mm. 1-2,,,,BWV 903,,,,/musictheoryexamples/examples//ScM.mp3,/musictheoryexamples/examples//ScM.pdf
Scales,Minor Scales,Descending Major Scales,"Chopin, Ballade no. 1 in g minor, op. 23, mm. 250-256",Chopin,"Ballade no. 1 in g minor, op. 23",mm. 250-256,,,,op. 23,,,,/musictheoryexamples/examples//ScQ.mp3,/musictheoryexamples/examples//ScQ.pdf
